"productID","lot","expirationDate","franchise"
"283162","4-Sep","1-Jan-15","DEP"
"CFP001","3728","31-Dec-14","COR"
"39D76X ","ST-3222","31-Jan-12","COR"
"228142","3480610","30-Nov-13","DEP"
"39D79X","RCI0782","31-Dec-14","COR"
"CRB23300","15385982","31-Dec-11","COR"
"CRB18275","15401614","31-Jan-12","COR"
"PG2910P","N0909312","31-Aug-13","COR"
"PG3910P","N0110300","31-Dec-13","COR"
"PG1860PPS","15243313","31-Aug-12","COR"
"3507250BC","6448622-054","28-Feb-16","ETH"
"3507250BC","6448622-039","28-Feb-16","ETH"
"3507250BC","6450645-059","28-Feb-16","ETH"
"3507300BC","6450126-036","28-Feb-16","ETH"